"speed","height","gender"
103,64,"female"
110,61,"female"
80,66,"male"
85,63,"female"
90,69,"male"
110,63,"female"
85,66,"female"
110,69,"male"
95,67,"female"
60,66,"male"
115,70,"male"
100,57,"female"
80,79,"male"
145,69,"male"
25,64,"female"
110,63,"female"
85,63,"female"
90,60,"female"
88,65,"female"
60,72,"male"
120,63,"female"
85,67,"female"
95,60,"female"
96,66,"female"
80,61,"female"
70,62,"female"
0,68,"female"
90,65,"female"
100,69,"female"
60,70,"male"
100,69,"female"
90,65,"female"
90,73,"male"
110,69,"male"
120,70,"male"
105,64,"female"
70,60,"male"
85,72,"male"
95,70,"male"
65,63,"female"
100,71,"female"
110,62,"female"
100,71,"male"
95,67,"female"
90,65,"female"
96,63,"female"
96,63,"female"
100,65,"female"
90,68,"female"
100,73.5,"male"
90,70,"male"
60,61,"female"
98,64,"female"
140,69,"male"
90,70,"male"
90,69,"male"
90,69,"male"
120,73,"male"
85,72,"male"
75,66,"female"
110,72,"male"
85,64,"female"
85,64,"female"
96,68.5,"male"
80,64,"female"
120,71,"male"
85,68,"male"
40,65,"female"
118,64,"female"
128,64,"female"
185,75,"male"
80,62,"female"
105,65,"female"
90,70,"female"
110,65,"male"
85,64,"female"
70,65,"female"
110,65,"female"
120,70,"male"
65,62,"female"
40,52,"male"
90,60,"female"
90,66,"female"
90,64,"female"
100,68,"female"
105,73,"male"
85,70,"male"
90,60,"female"
30,59,"female"
70,67,"female"
80,63,"female"
80,60.5,"female"
80,67,"male"
90,66,"female"
100,68,"male"
100,64,"female"
100,65,"female"
110,71,"male"
90,67,"male"
60,62,"female"
80,59,"female"
85,60,"female"
85,69,"female"
80,67,"female"
85,62,"female"
90,64,"female"
90,64,"female"
90,71,"female"
90,68,"male"
95,66,"female"
110,71,"male"
75,65,"female"
85,74,"male"
85,69,"male"
85,57,"female"
90,65,"female"
98,70,"male"
100,71,"male"
108,67,"female"
0,68,"male"
60,70,"male"
80,66,"female"
80,65,"female"
85,68,"male"
90,65,"male"
105,74,"male"
110,74,"male"
120,70,"male"
95,63,"female"
80,64,"female"
75,63,"female"
100,64,"female"
100,63,"female"
120,75,"male"
80,60,"female"
100,67,"female"
100,62,"female"
90,65.5,"female"
70,67,"female"
70,61,"female"
80,67,"male"
60,66,"female"
100,68,"female"
95,66,"female"
100,68,"male"
80,63,"female"
95,62,"female"
60,66,"female"
85,65,"female"
85,66,"female"
85,65,"female"
90,70,"female"
110,63,"female"
65,73,"male"
95,64,"female"
95,67,"female"
155,70,"male"
80,58,"female"
85,68,"female"
90,70,"male"
90,62,"female"
90,71,"female"
90,63,"female"
95,63,"female"
95,63,"female"
100,67,"female"
105,67,"male"
110,66,"male"
80,68,"female"
85,62,"female"
90,68,"male"
90,68,"male"
90,69,"male"
110,72,"male"
120,67,"male"
45,64,"female"
75,64,"female"
80,63,"female"
85,69,"female"
90,72,"male"
90,72,"female"
95,66,"female"
95,52,"female"
100,67,"male"
117,70,"male"
119,70,"male"
120,69,"male"
135,72,"male"
75,60,"female"
85,65,"female"
80,66,"female"
80,65,"female"
85,65,"female"
109,73,"male"
80,63,"female"
85,64,"female"
90,61,"female"
90,73,"male"
95,63,"female"
110,69,"male"
85,64,"female"
90,67,"female"
110,72,"male"
56,66,"male"
80,63,"female"
85,67,"female"
100,72,"male"
105,69,"male"
110,61,"female"
50,60,"female"
86,66,"female"
70,64,"female"
115,65,"female"
110,73,"male"
85,64,"female"
95,63,"female"
80,67,"female"
97,68.5,"male"
100,68,"female"
110,75,"male"
80,63,"female"
105,70,"male"
80,59,"female"
110,68.5,"female"
110,59,"female"
70,64,"female"
85,63,"female"
100,75,"male"
88,77,"female"
65,68,"male"
90,67,"female"
100,65,"female"
100,63,"female"
111,71,"male"
95,66,"male"
110,63,"female"
115,68,"male"
80,69.5,"female"
90,72,"male"
90,65,"female"
95,70,"female"
80,64,"female"
85,66,"male"
105,67,"female"
110,68,"male"
80,66,"female"
80,74,"male"
95,74,"female"
110,67,"female"
85,73,"male"
90,67,"female"
95,72,"male"
55,62,"female"
50,63,"female"
80,65,"female"
95,71,"female"
110,71,"male"
75,64,"female"
90,65,"female"
90,64,"female"
110,64,"female"
25,66,"female"
125,60.2,"female"
95,60,"female"
0,64,"female"
65,64,"female"
89,59,"female"
100,70,"male"
90,71,"male"
110,67,"female"
80,65,"female"
85,66,"male"
90,63,"female"
95,62,"female"
85,72,"male"
90,65,"male"
60,64,"female"
87,60,"female"
100,67,"male"
100,67,"male"
100,67,"male"
100,71,"male"
110,72,"male"
75,65,"female"
50,64,"female"
70,70,"female"
75,65,"female"
95,66,"female"
100,74,"male"
0,65,"female"
45,65,"female"
70,70,"male"
80,64,"female"
85,74,"male"
99,65,"male"
100,65,"female"
100,68,"male"
100,66.5,"female"
136,73,"male"
70,62,"female"
100,61,"female"
135,70,"male"
95,62,"female"
100,63.8,"female"
100,68,"male"
83,60,"female"
113,67,"female"
100,60,"female"
70,67,"female"
90,64,"female"
80,66,"female"
90,62,"female"
95,62,"female"
100,64,"female"
85,64,"female"
110,66,"female"
80,71,"male"
100,67,"female"
110,65,"female"
70,72,"female"
95,63,"male"
95,65,"female"
105,63,"female"
90,62,"female"
100,74,"male"
115,67,"female"
80,64,"female"
100,70,"female"
95,70,"female"
75,71,"male"
90,66,"female"
90,67,"male"
60,67,"female"
100,61,"female"
100,66,"male"
90,64,"female"
100,71,"male"
110,73,"male"
100,63,"female"
100,66,"female"
0,60,"female"
95,65,"female"
110,70,"male"
115,67,"male"
65,62,"female"
90,75,"male"
95,62,"female"
90,72,"male"
85,66,"female"
50,67,"female"
65,63,"female"
100,64,"female"
80,62,"female"
120,64,"female"
100,68,"male"
95,74,"male"
70,71,"male"
70,62,"female"
125,76,"male"
105,74,"male"
115,75,"male"
80,62,"female"
130,61.5,"female"
90,64,"female"
100,71,"female"
0,67,"female"
75,66,"female"
80,67,"female"
85,72,"male"
100,71,"male"
102,69,"female"
120,67,"female"
92,64,"female"
90,67,"male"
85,62,"female"
90,65,"female"
90,69,"female"
110,63.5,"female"
110,67,"female"
110,72,"male"
100,69,"female"
90,72,"male"
110,67,"male"
120,70,"male"
80,63,"female"
90,69,"female"
90,63,"female"
120,73,"male"
130,72,"male"
85,70,"female"
90,67,"female"
85,64,"female"
125,71,"male"
70,62,"female"
95,71,"male"
105,75,"male"
120,70,"male"
90,62,"female"
130,69,"male"
114,72,"male"
50,71,"male"
80,61,"female"
85,70,"male"
90,65,"female"
103,61,"female"
110,66,"female"
90,64,"female"
100,69,"male"
85,68,"female"
85,63,"female"
100,59,"female"
120,59,"female"
90,72,"male"
100,68,"female"
100,65,"female"
85,61,"female"
120,64,"female"
70,64,"female"
75,67,"female"
130,68,"male"
77,67,"female"
95,70,"male"
80,66.5,"male"
100,69,"male"
105,67,"male"
0,61,"female"
120,63,"female"
90,68,"female"
90,65,"female"
80,67,"female"
90,66,"female"
110,70,"male"
95,65,"female"
80,64,"male"
65,60,"male"
95,60,"female"
90,62,"female"
95,61,"female"
60,65,"male"
90,67,"male"
30,62,"female"
120,67,"male"
90,61,"female"
85,70,"female"
100,67,"male"
100,69,"female"
95,70,"male"
85,63,"female"
40,63,"female"
65,68,"male"
90,63,"female"
80,66,"female"
90,63,"female"
100,63,"female"
25,68,"male"
30,68,"male"
25,68,"male"
100,66,"female"
85,70,"male"
85,72,"male"
95,65,"female"
100,64,"female"
110,71,"male"
142,72,"male"
100,66,"female"
110,65,"female"
120,66,"female"
90,64,"male"
90,63,"female"
105,63,"female"
90,64,"female"
80,63,"female"
55,65,"female"
90,67,"female"
120,74,"male"
100,62,"female"
110,69,"male"
75,65,"female"
80,66,"female"
110,67,"female"
100,64,"female"
85,70,"female"
90,62,"female"
80,61.5,"female"
90,68,"male"
85,66,"female"
90,61,"female"
65,66,"male"
120,64,"female"
85,68,"female"
85,62,"female"
95,69,"male"
120,67,"female"
90,71,"male"
85,62,"female"
100,60,"female"
75,63,"female"
90,67,"male"
100,55,"female"
100,66,"male"
100,64,"female"
90,68,"female"
115,64,"female"
115,68,"male"
45,60,"female"
110,68,"male"
90,65,"female"
120,68,"male"
0,66,"female"
90,64,"female"
95,66,"female"
85,61,"female"
85,64,"female"
90,70,"male"
110,71,"male"
0,63,"female"
80,64,"female"
100,62,"female"
90,72,"male"
95,67,"female"
90,62,"female"
95,63,"female"
95,63.5,"female"
70,63,"female"
100,66,"female"
70,65,"female"
85,67,"female"
110,64,"female"
85,63,"female"
110,62,"female"
100,70,"male"
100,68,"male"
95,63,"female"
90,64,"female"
90,62,"female"
90,63,"female"
75,64,"female"
75,64,"female"
50,63.5,"female"
80,62,"female"
100,63,"female"
95,70,"female"
92,65,"female"
0,61,"female"
90,63,"female"
110,68,"female"
95,66,"female"
50,62,"female"
80,72,"male"
90,70,"male"
100,67,"male"
90,62,"female"
90,62,"female"
80,61,"female"
100,68,"male"
90,68,"male"
110,71,"male"
100,59,"female"
55,62,"female"
100,66,"female"
90,66,"male"
131,64,"female"
110,71,"male"
100,65,"female"
70,62,"female"
70,61,"female"
100,67,"female"
100,64.8,"male"
110,64,"female"
141,70,"male"
90,68,"male"
65,68,"male"
104,69,"male"
95,72,"male"
93,67,"female"
80,64,"female"
100,62,"female"
75,65,"female"
85,73,"male"
95,68,"female"
95,66,"female"
100,66,"female"
115,75,"male"
95,62,"male"
85,63,"female"
110,71,"male"
75,60,"male"
110,61,"female"
142,72,"male"
110,72,"male"
135,71,"male"
100,73,"male"
85,66,"female"
0,62,"female"
120,63,"female"
80,63,"female"
85,63,"female"
100,67,"female"
90,64,"male"
110,67,"male"
110,70,"male"
85,63,"female"
80,66,"male"
80,66,"male"
80,66,"male"
90,56,"male"
145,72,"male"
100,63,"female"
90,65,"female"
100,64,"female"
80,63,"female"
80,60,"female"
125,61,"female"
80,67,"male"
109,71,"male"
110,74,"male"
120,74,"male"
85,64,"female"
90,66,"female"
120,66,"female"
70,60,"female"
75,63,"female"
50,62,"female"
100,62,"female"
85,65,"female"
70,67,"female"
90,68,"male"
75,65,"female"
70,63,"female"
100,76,"male"
120,73,"male"
100,73,"female"
85,64,"female"
85,64,"female"
95,67,"female"
100,72,"female"
100,70,"male"
90,60,"female"
120,73,"male"
95,62,"female"
120,75,"male"
85,66,"female"
85,66,"female"
90,65,"female"
110,73,"male"
85,66,"female"
110,65,"female"
85,69,"female"
135,60,"male"
80,64,"female"
100,65,"female"
42,62,"female"
95,64,"male"
145,76,"male"
90,68,"female"
110,71,"female"
90,66,"female"
85,66,"female"
85,63,"female"
50,70,"male"
120,67,"female"
145,72,"male"
107,70,"male"
60,72,"male"
140,70,"male"
25,66,"female"
80,67,"male"
85,71,"female"
55,68,"female"
45,65,"female"
125,67,"female"
98,70,"male"
120,62,"female"
95,68,"male"
130,65,"female"
90,71,"male"
90,58,"male"
100,60,"male"
90,68.9,"male"
100,58,"female"
85,63,"female"
90,72,"female"
20,65,"female"
110,65,"female"
110,60,"female"
100,72,"male"
110,67,"male"
117,67,"male"
110,65,"female"
95,64,"female"
130,65,"male"
65,67,"female"
100,64,"female"
100,66,"female"
90,62,"female"
110,58,"male"
60,62,"female"
100,71,"male"
100,63,"female"
143,77,"male"
95,68,"male"
90,61,"female"
0,61,"female"
80,64,"male"
70,64,"male"
80,71,"male"
90,66,"female"
110,67,"male"
104,73,"male"
120,68,"male"
125,66,"male"
110,69,"male"
92,70,"male"
130,61,"female"
91,63,"female"
75,60,"male"
110,70,"male"
85,63,"female"
80,71,"male"
100,70,"female"
110,68,"female"
95,73,"male"
90,65,"female"
90,67,"female"
80,66,"female"
110,62,"female"
150,72.5,"male"
90,61,"female"
0,64,"male"
90,65,"female"
90,74,"male"
90,64,"female"
110,72,"male"
100,63,"female"
90,63,"female"
90,64,"female"
90,65,"female"
110,67,"female"
95,61.5,"female"
105,75,"male"
98,68,"female"
80,66,"female"
110,69,"male"
85,69,"male"
90,63,"female"
105,69,"female"
130,65,"female"
83,69,"female"
90,64,"female"
75,72,"male"
100,69,"female"
85,65,"male"
100,67,"female"
120,72,"male"
65,64,"female"
55,67,"female"
105,64,"female"
90,66,"female"
95,66,"female"
102,62.5,"female"
90,61,"female"
105,70,"female"
90,64,"female"
120,70,"male"
90,69,"male"
120,68,"female"
75,65,"female"
60,64,"female"
70,63,"female"
80,67,"female"
100,67,"male"
100,65,"male"
90,62,"female"
95,65,"female"
90,72,"male"
70,66,"female"
130,68,"male"
90,71,"male"
95,66,"female"
80,62,"female"
110,72,"male"
80,61,"female"
85,64,"female"
80,64,"female"
85,62,"female"
65,63,"female"
90,62,"female"
85,66,"female"
110,71,"male"
90,63,"female"
100,64,"female"
60,64,"female"
85,64.9,"female"
110,64,"female"
100,63,"female"
0,66,"female"
70,65,"female"
90,69,"male"
134,69,"male"
70,58,"female"
90,65,"female"
110,70,"male"
100,63,"female"
80,67,"female"
85,68,"male"
90,66,"female"
100,59,"female"
90,62,"female"
95,73,"male"
80,60,"female"
80,63,"female"
85,63,"female"
70,64,"female"
80,63,"female"
95,63,"female"
90,60,"female"
90,62,"female"
88,62,"female"
70,65,"female"
110,70,"male"
120,67,"female"
90,67,"female"
97,67,"female"
75,52,"female"
85,63,"female"
90,64,"female"
85,67,"female"
98,70,"female"
95,65,"female"
110,68,"female"
80,69,"male"
100,69,"male"
120,70,"male"
100,64,"female"
100,69,"female"
80,65,"female"
100,71,"male"
90,65,"female"
85,68,"male"
120,70,"male"
85,65,"female"
75,63,"female"
90,71,"female"
95,69,"female"
90,63,"female"
85,65,"female"
90,62,"female"
100,67,"female"
105,74,"male"
70,63,"female"
110,64,"female"
87,65,"female"
100,69,"male"
45,65,"female"
80,63,"female"
135,69,"male"
80,66,"female"
80,67,"female"
90,68,"female"
98,66,"female"
90,60,"female"
100,66,"female"
90,65,"female"
95,71,"male"
90,65,"female"
90,74,"male"
130,60,"female"
90,65,"female"
85,66,"female"
120,72,"male"
85,67,"female"
130,72,"male"
80,66,"male"
90,67,"female"
100,78,"male"
90,60,"female"
100,62,"female"
110,61,"female"
40,66,"male"
100,64,"female"
90,62.5,"female"
80,61,"female"
90,67,"female"
45,66,"male"
90,62,"female"
110,63,"female"
100,64,"male"
75,66,"male"
90,69,"male"
87,63.5,"female"
100,62.5,"female"
90,65,"female"
100,62.5,"female"
100,66,"female"
90,65,"female"
90,66,"female"
90,70,"male"
80,62,"female"
100,62.5,"female"
75,71,"male"
35,64,"male"
95,65,"female"
100,62,"female"
70,69,"male"
80,64,"female"
100,64,"female"
90,62,"female"
90,57,"female"
75,64,"female"
90,69.5,"female"
100,67,"male"
95,70,"male"
109,70,"male"
100,63,"female"
20,63,"female"
70,64,"female"
100,64,"female"
90,64,"female"
30,72,"female"
97,60,"female"
0,60,"female"
90,65,"female"
87,77,"male"
90,67,"female"
100,61,"female"
85,60,"female"
85,62,"female"
50,61,"female"
120,71,"male"
100,65,"female"
85,72,"male"
85,67,"female"
110,65,"male"
85,72,"male"
140,70,"female"
115,79,"male"
90,66,"female"
70,68,"male"
40,67,"female"
85,66,"female"
90,72,"male"
85,63,"female"
100,59,"female"
109,70,"male"
90,58,"female"
100,67,"female"
85,69,"female"
105,65,"female"
98,74,"male"
95,67,"female"
70,63,"female"
70,68,"female"
90,68,"female"
92,63,"female"
98,62,"female"
75,69,"male"
80,64,"female"
100,68,"male"
85,62.5,"female"
80,63,"female"
100,69,"male"
100,60,"female"
15,63,"female"
90,62,"female"
60,62,"female"
95,68,"male"
103,68,"female"
65,65,"female"
75,67,"female"
75,61,"female"
90,63.5,"female"
95,62.5,"female"
80,64,"female"
90,61,"female"
108,65,"female"
80,64,"female"
110,62,"female"
75,63,"female"
100,66,"female"
100,60,"female"
75,70,"male"
90,67,"female"
90,74,"male"
60,66,"female"
102,68,"female"
98,73,"male"
102,62,"female"
70,52,"female"
80,63,"female"
100,66,"female"
0,63,"female"
115,63,"female"
80,56,"female"
115,66,"female"
65,65,"female"
80,63,"female"
45,66,"male"
100,63,"female"
75,62,"female"
125,66,"male"
125,72,"male"
109,67,"female"
90,69,"female"
110,69,"male"
110,68,"female"
100,69,"male"
100,68,"female"
110,71,"male"
95,75,"male"
125,65,"female"
100,73,"male"
85,68,"female"
70,62,"female"
95,65,"female"
100,68,"female"
90,57,"female"
90,69,"male"
85,65,"female"
90,67,"female"
100,69,"male"
80,66,"female"
95,65,"female"
98,66,"female"
130,69,"male"
120,67,"female"
0,64,"female"
80,62,"female"
95,64,"female"
85,64,"female"
85,70,"male"
110,63,"female"
90,67,"male"
90,61,"female"
100,65,"female"
90,73,"male"
48,63,"female"
110,63,"female"
80,66,"female"
85,67,"female"
100,66,"male"
102,73,"male"
98,72,"male"
100,58,"female"
125,69,"male"
110,63,"female"
60,65,"female"
95,59,"female"
100,62,"female"
90,65,"female"
100,68,"male"
100,64,"female"
105,77,"male"
135,70,"male"
80,65,"female"
110,61,"female"
80,62,"female"
90,63,"female"
85,68,"female"
112,64,"female"
135,65,"male"
87,64,"female"
110,71,"male"
75,68,"female"
60,68,"female"
50,65,"male"
80,65,"female"
100,62,"female"
90,64,"female"
90,69,"female"
110,67,"male"
95,67,"male"
80,69,"male"
100,68,"male"
110,64,"female"
105,72,"male"
90,67,"male"
115,66,"male"
85,71,"male"
120,71,"female"
100,61,"female"
100,65,"female"
75,64,"female"
90,67,"female"
105,64,"female"
109,68,"female"
125,67,"male"
95,69,"female"
80,66,"female"
95,64.5,"female"
90,71,"male"
90,62,"female"
90,66,"female"
115,70,"male"
80,63,"female"
105,67,"female"
110,73,"male"
110,73,"male"
40,62,"female"
95,67,"male"
120,65,"female"
149,73,"male"
95,82,"male"
95,52,"female"
90,67,"female"
120,65,"female"
85,68,"female"
90,77,"male"
88,73,"male"
100,71,"male"
100,67,"male"
119,69,"male"
105,66,"male"
90,59,"male"
75,72,"male"
90,67,"male"
80,65,"female"
103,69,"male"
90,62,"female"
100,60,"female"
95,64,"female"
90,64,"female"
75,69,"female"
80,63,"female"
110,63,"female"
110,63,"female"
80,71,"male"
140,70,"male"
95,74,"female"
100,74,"male"
85,61,"female"
90,68,"female"
80,67,"male"
45,60,"female"
75,66,"female"
95,72,"male"
100,71,"male"
120,60,"female"
100,67,"female"
110,78,"female"
60,66,"female"
95,69,"female"
0,67,"female"
90,79,"male"
100,61,"female"
130,68,"female"
120,61,"female"
100,72,"male"
90,60,"male"
75,66,"female"
85,65,"female"
75,65,"female"
120,60,"female"
130,69,"male"
95,58,"female"
120,66,"female"
113,71,"male"
90,64,"female"
88,61,"female"
140,69,"female"
110,66,"female"
0,61,"female"
90,68,"male"
97,65.5,"female"
97,63,"female"
100,66,"female"
90,63,"female"
90,69,"male"
60,62,"female"
